func_ov000_020773c0 kind:function(thumb,size=0x44) addr:0x02077360
func_ov000_020779d8 kind:function(thumb,size=0x38) addr:0x02077978
func_ov000_02077a10 kind:function(thumb,size=0x20) addr:0x020779b0
func_ov000_02077a30 kind:function(thumb,size=0x10) addr:0x020779d0
func_ov000_02077a40 kind:function(thumb,size=0x96) addr:0x020779e0
func_ov000_02077ad8 kind:function(thumb,size=0x20) addr:0x02077a78
func_ov000_02077af8 kind:function(thumb,size=0x90) addr:0x02077a98
func_ov000_02077b88 kind:function(thumb,size=0xb0) addr:0x02077b28
func_ov000_02077c38 kind:function(thumb,size=0x2c) addr:0x02077bd8
func_ov000_02077c64 kind:function(thumb,size=0x20) addr:0x02077c04
func_ov000_02077c84 kind:function(thumb,size=0x70) addr:0x02077c24
func_ov000_02077cf4 kind:function(thumb,size=0x78) addr:0x02077c94
func_ov000_02077d6c kind:function(thumb,size=0x10) addr:0x02077d0c
func_ov000_02077d7c kind:function(thumb,size=0x2c) addr:0x02077d1c
func_ov000_02077da8 kind:function(thumb,size=0x28) addr:0x02077d48
func_ov000_02077dd0 kind:function(thumb,size=0x16) addr:0x02077d70
func_ov000_02077de8 kind:function(thumb,size=0x52) addr:0x02077d88
func_ov000_02077e3c kind:function(thumb,size=0x1e) addr:0x02077ddc
func_ov000_02077e5c kind:function(thumb,size=0x308) addr:0x02077dfc
func_ov000_02078164 kind:function(thumb,size=0x58) addr:0x02078104
func_ov000_020781bc kind:function(thumb,size=0x48) addr:0x0207815c
func_ov000_02078204 kind:function(thumb,size=0x30) addr:0x020781a4
func_ov000_02078234 kind:function(thumb,size=0x44) addr:0x020781d4
func_ov000_02078278 kind:function(thumb,size=0x20) addr:0x02078218
func_ov000_02078298 kind:function(thumb,size=0x7c) addr:0x02078238
func_ov000_02078314 kind:function(thumb,size=0x8) addr:0x020782b4
func_ov000_0207831c kind:function(thumb,size=0x24c) addr:0x020782bc
func_ov000_02078568 kind:function(thumb,size=0xb4) addr:0x02078508
func_ov000_0207861c kind:function(thumb,size=0x56) addr:0x020785bc
func_ov000_02078674 kind:function(thumb,size=0x1c) addr:0x02078614
func_ov000_02078690 kind:function(thumb,size=0x11c) addr:0x02078630
func_ov000_020787ac kind:function(thumb,size=0x158) addr:0x0207874c
func_ov000_02078904 kind:function(thumb,size=0x2e) addr:0x020788a4
func_ov000_02078934 kind:function(thumb,size=0x38) addr:0x020788d4
func_ov000_0207896c kind:function(thumb,size=0x128) addr:0x0207890c
func_ov000_02078a94 kind:function(thumb,size=0x3e) addr:0x02078a34
func_ov000_02078ad4 kind:function(thumb,size=0x36) addr:0x02078a74
func_ov000_02078b0c kind:function(thumb,size=0x34) addr:0x02078aac
_ZN18UnkStruct_027e0d3819func_ov000_02078b40Ev kind:function(arm,size=0x24) addr:0x02078ae0
_ZN18UnkStruct_027e0d3819func_ov000_02078b64Ev kind:function(arm,size=0x24) addr:0x02078b04
_ZN18UnkStruct_027e0d3819func_ov000_02078b88Ev kind:function(arm,size=0x3c) addr:0x02078b28
func_ov000_02078bc4 kind:function(thumb,size=0x2c) addr:0x02078b64
func_ov000_02078bf0 kind:function(thumb,size=0x11c) addr:0x02078b90
func_ov000_02078d0c kind:function(thumb,size=0x24) addr:0x02078cac
func_ov000_02078d30 kind:function(thumb,size=0x24) addr:0x02078cd0
func_ov000_02078d54 kind:function(thumb,size=0x3c) addr:0x02078cf4
func_ov000_02078d90 kind:function(thumb,size=0x1a) addr:0x02078d30
func_ov000_02078dac kind:function(thumb,size=0x54) addr:0x02078d4c
func_ov000_02078e00 kind:function(thumb,size=0x154) addr:0x02078da0
func_ov000_02078f54 kind:function(arm,size=0x2c) addr:0x02078ef4
func_ov000_02078f80 kind:function(arm,size=0x2c) addr:0x02078f20
func_ov000_02078fac kind:function(arm,size=0x14) addr:0x02078f4c
func_ov000_02078fc0 kind:function(arm,size=0x14) addr:0x02078f60
func_ov000_02078fd4 kind:function(arm,size=0x14) addr:0x02078f74
func_ov000_02078fe8 kind:function(arm,size=0x14) addr:0x02078f88
func_ov000_02078ffc kind:function(arm,size=0xc) addr:0x02078f9c
func_ov000_02079008 kind:function(arm,size=0x1c) addr:0x02078fa8
func_ov000_02079024 kind:function(arm,size=0x128) addr:0x02078fc4
func_ov000_0207914c kind:function(arm,size=0x90) addr:0x020790ec
func_ov000_020791dc kind:function(arm,size=0x30) addr:0x0207917c
func_ov000_0207920c kind:function(arm,size=0x94) addr:0x020791ac
func_ov000_020792a0 kind:function(arm,size=0x118) addr:0x02079240
func_ov000_020793b8 kind:function(arm,size=0x18) addr:0x02079358
func_ov000_020793d0 kind:function(arm,size=0xa0) addr:0x02079370
func_ov000_02079470 kind:function(arm,size=0x210) addr:0x02079410
func_ov000_02079680 kind:function(arm,size=0xfc) addr:0x02079620
func_ov000_0207977c kind:function(arm,size=0xfc) addr:0x0207971c
func_ov000_02079878 kind:function(arm,size=0x20) addr:0x02079818
func_ov000_02079898 kind:function(arm,size=0x24) addr:0x02079838
func_ov000_020798bc kind:function(arm,size=0x2c) addr:0x0207985c
func_ov000_020798e8 kind:function(arm,size=0x40) addr:0x02079888
func_ov000_02079928 kind:function(arm,size=0x124) addr:0x020798c8
func_ov000_02079a4c kind:function(arm,size=0x44) addr:0x020799ec
func_ov000_02079a90 kind:function(arm,size=0x24) addr:0x02079a30
func_ov000_02079ab4 kind:function(arm,size=0x80) addr:0x02079a54
func_ov000_02079b34 kind:function(arm,size=0x20) addr:0x02079ad4
func_ov000_02079b54 kind:function(thumb,size=0x22) addr:0x02079af4
func_ov000_02079b78 kind:function(arm,size=0x1c) addr:0x02079b18
func_ov000_02079b94 kind:function(arm,size=0x48) addr:0x02079b34
func_ov000_02079bdc kind:function(thumb,size=0xaa) addr:0x02079b7c
func_ov000_02079c88 kind:function(thumb,size=0x50) addr:0x02079c28
func_ov000_02079cd8 kind:function(thumb,size=0xc) addr:0x02079c78
func_ov000_02079ce4 kind:function(thumb,size=0xc) addr:0x02079c84
func_ov000_02079cf0 kind:function(thumb,size=0x38) addr:0x02079c90
_ZN12GameModePlayC1Ei kind:function(thumb,size=0x2c) addr:0x02079cc8
_ZN12GameModePlayD1Ev kind:function(thumb,size=0x24) addr:0x02079cf4
_ZN12GameModePlayD0Ev kind:function(thumb,size=0x2c) addr:0x02079d18
_ZN12GameModePlayD2Ev kind:function(thumb,size=0x24) addr:0x02079d44
_ZN12GameModePlay8vfunc_1cEv kind:function(thumb,size=0x10) addr:0x02079d68
_ZN12GameModePlay8vfunc_20Ev kind:function(thumb,size=0x2) addr:0x02079d78
func_ov000_02079ddc kind:function(thumb,size=0x14) addr:0x02079d7c
func_ov000_02079df0 kind:function(thumb,size=0x14) addr:0x02079d90
func_ov000_02079e04 kind:function(arm,size=0x38) addr:0x02079da4
func_ov000_02079e3c kind:function(arm,size=0x2c) addr:0x02079ddc
func_ov000_02079e68 kind:function(arm,size=0x4c) addr:0x02079e08
func_ov000_02079eb4 kind:function(arm,size=0x24) addr:0x02079e54
func_ov000_02079ed8 kind:function(thumb,size=0x22) addr:0x02079e78
func_ov000_02079efc kind:function(thumb,size=0x3e) addr:0x02079e9c
func_ov000_02079f3c kind:function(thumb,size=0x20) addr:0x02079edc
func_ov000_02079f5c kind:function(thumb,size=0xa0) addr:0x02079efc
LoadNsbTexturedModel kind:function(thumb,size=0x3a) addr:0x02079f9c
func_ov000_0207a038 kind:function(thumb,size=0x102) addr:0x02079fd8
_ZN19Actor_UnkStruct_012C1Ev kind:function(arm,size=0x4c) addr:0x0207a0dc
_ZN19Actor_UnkStruct_0a4C1Eiiii kind:function(thumb,size=0x1c) addr:0x0207a128
func_ov000_0207a1a4 kind:function(arm,size=0x24) addr:0x0207a144
_ZN19Actor_UnkStruct_0a419func_ov000_0207a1c8EiP5Vec3p kind:function(arm,size=0xcc) addr:0x0207a168
func_ov000_0207a294 kind:function(thumb,size=0x44) addr:0x0207a234
func_ov000_0207a2d8 kind:function(arm,size=0x10) addr:0x0207a278
_ZN18UnkStruct_027e0d5419func_ov000_0207a2e8Ei kind:function(thumb,size=0x14) addr:0x0207a288
func_ov000_0207a2fc kind:function(arm,size=0x4) addr:0x0207a29c
func_ov000_0207a300 kind:function(thumb,size=0x8c) addr:0x0207a2a0
_ZN13SaveInventory4InitEv kind:function(thumb,size=0x56) addr:0x0207a32c
func_ov000_0207a3e4 kind:function(thumb,size=0x32) addr:0x0207a384
func_ov000_0207a418 kind:function(thumb,size=0xbc) addr:0x0207a3b8
func_ov000_0207a4d4 kind:function(thumb,size=0x1a) addr:0x0207a474
func_ov000_0207a4f0 kind:function(thumb,size=0x24) addr:0x0207a490
func_ov000_0207a514 kind:function(thumb,size=0x98) addr:0x0207a4b4
func_ov000_0207a5ac kind:function(thumb,size=0x48) addr:0x0207a54c
func_ov000_0207a5f4 kind:function(thumb,size=0x1e) addr:0x0207a594
func_ov000_0207a614 kind:function(thumb,size=0x40) addr:0x0207a5b4
func_ov000_0207a654 kind:function(thumb,size=0x38) addr:0x0207a5f4
func_ov000_0207a68c kind:function(thumb,size=0x1e) addr:0x0207a62c
func_ov000_0207a6ac kind:function(thumb,size=0x24) addr:0x0207a64c
func_ov000_0207a6d0 kind:function(thumb,size=0x18) addr:0x0207a670
func_ov000_0207a6e8 kind:function(thumb,size=0x22) addr:0x0207a688
func_ov000_0207a70c kind:function(thumb,size=0x24) addr:0x0207a6ac
func_ov000_0207a730 kind:function(thumb,size=0x16) addr:0x0207a6d0
func_ov000_0207a748 kind:function(arm,size=0x4c) addr:0x0207a6e8
func_ov000_0207a794 kind:function(arm,size=0x1c) addr:0x0207a734
func_ov000_0207a7b0 kind:function(thumb,size=0x28) addr:0x0207a750
func_ov000_0207a7d8 kind:function(thumb,size=0x1a) addr:0x0207a778
func_ov000_0207a7f4 kind:function(arm,size=0x2c) addr:0x0207a794
func_ov000_0207a820 kind:function(arm,size=0xc0) addr:0x0207a7c0
func_ov000_0207a8e0 kind:function(thumb,size=0x28) addr:0x0207a880
func_ov000_0207a908 kind:function(thumb,size=0x30) addr:0x0207a8a8
func_ov000_0207a938 kind:function(thumb,size=0x18) addr:0x0207a8d8
func_ov000_0207a950 kind:function(arm,size=0x29c) addr:0x0207a8f0
func_ov000_0207abec kind:function(arm,size=0x38) addr:0x0207ab8c
_ZN12TouchControl4InitEv kind:function(thumb,size=0x3c) addr:0x0207abc4
_ZN12TouchControl13IncreaseSpeedEs kind:function(arm,size=0x18) addr:0x0207ac00
_ZN12TouchControl11UpdateFlagsEt kind:function(arm,size=0x118) addr:0x0207ac18
_ZN12TouchControl20UpdateWithStateFlagsEP15TouchStateFlagst kind:function(arm,size=0xdc) addr:0x0207ad30
_ZN12TouchControl6UpdateEP10TouchStatet kind:function(arm,size=0x40) addr:0x0207ae0c
_ZN12TouchControl18func_ov00_0207aeacEv kind:function(arm,size=0x24) addr:0x0207ae4c
_ZN12TouchControl19UpdateConditionallyEP10TouchStatet kind:function(arm,size=0x68) addr:0x0207ae70
_ZN12TouchControl18func_ov00_0207af38Etb kind:function(arm,size=0x64) addr:0x0207aed8
_ZN12TouchControlD1Ev kind:function(arm,size=0x4) addr:0x0207af3c
func_ov000_0207afa0 kind:function(thumb,size=0x24) addr:0x0207af40
func_ov000_0207afc4 kind:function(thumb,size=0x34) addr:0x0207af64
func_ov000_0207aff8 kind:function(thumb,size=0x38) addr:0x0207af98
func_ov000_0207b030 kind:function(thumb,size=0x6c) addr:0x0207afd0
func_ov000_0207b09c kind:function(thumb,size=0x78) addr:0x0207b03c
func_ov000_0207b114 kind:function(thumb,size=0x18) addr:0x0207b0b4
func_ov000_0207b12c kind:function(thumb,size=0x18) addr:0x0207b0cc
func_ov000_0207b144 kind:function(thumb,size=0xa0) addr:0x0207b0e4
func_ov000_0207b1e4 kind:function(thumb,size=0x18) addr:0x0207b184
func_ov000_0207b1fc kind:function(thumb,size=0x7c) addr:0x0207b19c
func_ov000_0207b278 kind:function(thumb,size=0x10) addr:0x0207b218
_ZN15Struct_027e0db019func_ov000_0207b288Ei kind:function(thumb,size=0x3c) addr:0x0207b228
func_ov000_0207b2c4 kind:function(thumb,size=0x2c) addr:0x0207b264
func_ov000_0207b2f0 kind:function(thumb,size=0x44) addr:0x0207b290
func_ov000_0207b334 kind:function(thumb,size=0x44) addr:0x0207b2d4
_ZN15Struct_027e0db019func_ov000_0207b378Ei kind:function(arm,size=0xc4) addr:0x0207b318
_ZN15Struct_027e0db019func_ov000_0207b43cEv kind:function(arm,size=0xf4) addr:0x0207b3dc
func_ov000_0207b530 kind:function(thumb,size=0x2c) addr:0x0207b4d0
func_ov000_0207b55c kind:function(thumb,size=0x60) addr:0x0207b4fc
func_ov000_0207b5bc kind:function(thumb,size=0x264) addr:0x0207b55c
func_ov000_0207b820 kind:function(arm,size=0x7c) addr:0x0207b7c0
func_ov000_0207b89c kind:function(arm,size=0x60) addr:0x0207b83c
func_ov000_0207b8fc kind:function(arm,size=0x10) addr:0x0207b89c
func_ov000_0207b90c kind:function(arm,size=0x7c) addr:0x0207b8ac
_ZN18UnkStruct_027e0dbc19func_ov000_0207b988Ei kind:function(thumb,size=0x40) addr:0x0207b928
_ZN18UnkStruct_027e0dbc19func_ov000_0207b9c8Ev kind:function(thumb,size=0x14) addr:0x0207b968
_ZN18UnkStruct_027e0dbc19func_ov000_0207b9dcEv kind:function(arm,size=0xb4) addr:0x0207b97c
func_ov000_0207ba90 kind:function(thumb,size=0x4) addr:0x0207ba30
func_ov000_0207ba94 kind:function(thumb,size=0x20) addr:0x0207ba34
func_ov000_0207bab4 kind:function(arm,size=0x5c) addr:0x0207ba54
func_ov000_0207bb10 kind:function(arm,size=0x4) addr:0x0207bab0
func_ov000_0207bb14 kind:function(arm,size=0x4) addr:0x0207bab4
func_ov000_0207bb18 kind:function(arm,size=0x4) addr:0x0207bab8
func_ov000_0207bb1c kind:function(arm,size=0x30) addr:0x0207babc
func_ov000_0207bb4c kind:function(arm,size=0xfc) addr:0x0207baec
func_ov000_0207bc48 kind:function(arm,size=0x20) addr:0x0207bbe8
func_ov000_0207bc68 kind:function(arm,size=0x14) addr:0x0207bc08
func_ov000_0207bc7c kind:function(thumb,size=0x1e) addr:0x0207bc1c
func_ov000_0207bc9c kind:function(arm,size=0x18) addr:0x0207bc3c
_ZN18UnkStruct_027e0e2c19func_ov000_0207bcb4Ev kind:function(thumb,size=0x28) addr:0x0207bc54
func_ov000_0207bcdc kind:function(thumb,size=0x70) addr:0x0207bc7c
func_ov000_0207bd4c kind:function(thumb,size=0x50) addr:0x0207bcec
func_ov000_0207bd9c kind:function(thumb,size=0x38) addr:0x0207bd3c
func_ov000_0207bdd4 kind:function(thumb,size=0x26) addr:0x0207bd74
func_ov000_0207bdfc kind:function(thumb,size=0x86) addr:0x0207bd9c
_ZN18UnkStruct_027e0e2c19func_ov000_0207be84Ei kind:function(arm,size=0x140) addr:0x0207be24
func_ov000_0207bfc4 kind:function(thumb,size=0x3a) addr:0x0207bf64
func_ov000_0207c000 kind:function(thumb,size=0x30) addr:0x0207bfa0
func_ov000_0207c030 kind:function(thumb,size=0x44) addr:0x0207bfd0
func_ov000_0207c074 kind:function(thumb,size=0x38) addr:0x0207c014
func_ov000_0207c0ac kind:function(thumb,size=0x20) addr:0x0207c04c
func_ov000_0207c0cc kind:function(thumb,size=0x24) addr:0x0207c06c
_ZN18UnkStruct_020ec7dc19func_ov000_0207c0f0Ei kind:function(thumb,size=0x28) addr:0x0207c090
func_ov000_0207c118 kind:function(thumb,size=0x58) addr:0x0207c0b8
_ZN18UnkStruct_020ec7dc19func_ov000_0207c170Ev kind:function(thumb,size=0x1e) addr:0x0207c110
func_ov000_0207c190 kind:function(thumb,size=0x1e) addr:0x0207c130
func_ov000_0207c1b0 kind:function(arm,size=0x48) addr:0x0207c150
func_ov000_0207c1f8 kind:function(arm,size=0x68) addr:0x0207c198
func_ov000_0207c260 kind:function(arm,size=0x88) addr:0x0207c200
func_ov000_0207c2e8 kind:function(arm,size=0x34) addr:0x0207c288
func_ov000_0207c31c kind:function(arm,size=0x3c) addr:0x0207c2bc
func_ov000_0207c358 kind:function(arm,size=0x44) addr:0x0207c2f8
func_ov000_0207c39c kind:function(arm,size=0x4c) addr:0x0207c33c
func_ov000_0207c3e8 kind:function(arm,size=0x5c) addr:0x0207c388
func_ov000_0207c444 kind:function(arm,size=0x30) addr:0x0207c3e4
func_ov000_0207c474 kind:function(arm,size=0xa4) addr:0x0207c414
func_ov000_0207c518 kind:function(arm,size=0x98) addr:0x0207c4b8
func_ov000_0207c5b0 kind:function(thumb,size=0x22) addr:0x0207c550
func_ov000_0207c5d4 kind:function(arm,size=0x48) addr:0x0207c574
func_ov000_0207c61c kind:function(arm,size=0x58) addr:0x0207c5bc
func_ov000_0207c674 kind:function(arm,size=0x20) addr:0x0207c614
func_ov000_0207c694 kind:function(arm,size=0x58) addr:0x0207c634
func_ov000_0207c6ec kind:function(arm,size=0x5c) addr:0x0207c68c
func_ov000_0207c748 kind:function(arm,size=0x28) addr:0x0207c6e8
func_ov000_0207c770 kind:function(thumb,size=0x28) addr:0x0207c710
func_ov000_0207c798 kind:function(arm,size=0x50) addr:0x0207c738
func_ov000_0207c7e8 kind:function(arm,size=0x1c) addr:0x0207c788
func_ov000_0207c804 kind:function(thumb,size=0xe0) addr:0x0207c7a4
func_ov000_0207c8e4 kind:function(thumb,size=0x38) addr:0x0207c884
func_ov000_0207c91c kind:function(arm,size=0xe4) addr:0x0207c8bc
_ZN6Course18GetDungeonProgressEP14CourseProgress kind:function(arm,size=0x28) addr:0x0207c9a0
_ZN6Course18func_ov00_0207ca28Eiii kind:function(arm,size=0x40) addr:0x0207c9c8
_ZN6Course13SetCourseNameEPc kind:function(arm,size=0x10) addr:0x0207ca08
_ZN6Course18func_ov00_0207ca78Eici kind:function(arm,size=0x30) addr:0x0207ca18
_ZN6Course18func_ov00_0207caa8EiPiPc kind:function(arm,size=0x88) addr:0x0207ca48
_ZN6Course18func_ov00_0207cb30Ei kind:function(arm,size=0x4c) addr:0x0207cad0
_ZN6Course14FindMapGridPosEP5Vec2bPS_j kind:function(arm,size=0x5c) addr:0x0207cb1c
_ZN6Course13FindMapCenterEi kind:function(arm,size=0x10) addr:0x0207cb78
_ZN6Course18func_ov00_0207cbe8Ei kind:function(arm,size=0x3c) addr:0x0207cb88
_ZN6Course18func_ov00_0207cc24Ei kind:function(arm,size=0x48) addr:0x0207cbc4
_ZN6Course18FindMapData_Unk_08Ei kind:function(arm,size=0x18) addr:0x0207cc0c
_ZN6Course14GetMCSFilePathEiii kind:function(arm,size=0xf0) addr:0x0207cc24
_ZN6Course14GetMRCFilePathEiii kind:function(arm,size=0xac) addr:0x0207cd14
_ZN6Course18func_ov00_0207ce20EiiPci kind:function(arm,size=0x2c) addr:0x0207cdc0
_ZN6Course18func_ov00_0207ce4cEiiiPci kind:function(arm,size=0x5b8) addr:0x0207cdec
_ZN6Course18func_ov00_0207d404Eiii kind:function(arm,size=0x78) addr:0x0207d3a4
_ZN6Course22IsCurrentMapInMainGridEv kind:function(arm,size=0x14) addr:0x0207d41c
_ZN6Course12IsInMainGridEii kind:function(arm,size=0x54) addr:0x0207d430
_ZN6Course15IsMapInMainGridEj kind:function(arm,size=0x34) addr:0x0207d484
_ZN6Course15GetMapScreenPosEiPiS0_ kind:function(arm,size=0xac) addr:0x0207d4b8
_ZN6Course21GetScreenMapCellSizeXEv kind:function(arm,size=0x2c) addr:0x0207d564
_ZN6Course21GetScreenMapCellSizeYEv kind:function(arm,size=0x2c) addr:0x0207d590
_ZN6Course13Get_Unk_c8_00Ev kind:function(arm,size=0xc) addr:0x0207d5bc
_ZN6Course13Get_Unk_c8_04Ev kind:function(arm,size=0xc) addr:0x0207d5c8
_ZN6Course23IsAdjacentMapOnMainGridEi kind:function(arm,size=0x78) addr:0x0207d5d4
_ZN6Course10HasGridMapEii kind:function(arm,size=0x40) addr:0x0207d64c
_ZN6Course14GetAdjacentMapEi kind:function(arm,size=0x4c) addr:0x0207d68c
_ZN6Course15GetAdjacentMapXEi kind:function(arm,size=0x20) addr:0x0207d6d8
_ZN6Course15GetAdjacentMapYEi kind:function(arm,size=0x20) addr:0x0207d6f8
_ZN6Course25FindCurrentMapData_Unk_04Ev kind:function(arm,size=0x10) addr:0x0207d718
_ZN6Course18FindMapData_Unk_04Ei kind:function(arm,size=0x1c) addr:0x0207d728
_ZN6Course18FindMapData_Unk_0cEi kind:function(arm,size=0x18) addr:0x0207d744
_ZN6Course18func_ov00_0207d7bcEv kind:function(arm,size=0x20) addr:0x0207d75c
_ZN6Course8SetFlag0Ejb kind:function(arm,size=0x4c) addr:0x0207d77c
_ZN6Course8GetFlag0Ej kind:function(arm,size=0x20) addr:0x0207d7c8
_ZN6Course8SetFlag1Ejb kind:function(arm,size=0x4c) addr:0x0207d7e8
_ZN6Course8SetFlag1Ej kind:function(arm,size=0x20) addr:0x0207d834
_ZN6Course15SetMapDataFlag0Eib kind:function(arm,size=0x20) addr:0x0207d854
_ZN6Course15GetMapDataFlag0Ei kind:function(arm,size=0x18) addr:0x0207d874
_ZN6Course15SetMapDataFlag1Eib kind:function(arm,size=0x20) addr:0x0207d88c
_ZN6Course15GetMapDataFlag1Ei kind:function(arm,size=0x18) addr:0x0207d8ac
_ZN6Course15SetMapDataFlag2Eib kind:function(arm,size=0x20) addr:0x0207d8c4
_ZN6Course15GetMapDataFlag2Ei kind:function(arm,size=0x18) addr:0x0207d8e4
_ZN6Course15SetMapDataFlag3Eib kind:function(arm,size=0x20) addr:0x0207d8fc
_ZN6Course15GetMapDataFlag3Ei kind:function(arm,size=0x18) addr:0x0207d91c
_ZN6Course15SetMapDataFlag4Eii kind:function(arm,size=0x20) addr:0x0207d934
_ZN6Course15GetMapDataFlag4Ei kind:function(arm,size=0x18) addr:0x0207d954
_ZN6Course11FindMapDataEj kind:function(arm,size=0x48) addr:0x0207d96c
_ZN6Course18FindCurrentMapDataEv kind:function(arm,size=0x24) addr:0x0207d9b4
_ZN7MapBaseD1Ev kind:function(arm,size=0xe0) addr:0x0207d9d8
_ZN15MapBase_Unk_180D1Ev kind:function(arm,size=0x4) addr:0x0207dab8
_ZN7MapBaseD0Ev kind:function(arm,size=0xe8) addr:0x0207dabc
_ZN7MapBaseD2Ev kind:function(arm,size=0xe0) addr:0x0207dba4
_ZN7MapBase9SetBoundsEii kind:function(arm,size=0xb8) addr:0x0207dc84
_ZN15MapManager_Unk2D1Ev kind:function(arm,size=0x4) addr:0x0207dd3c
_ZN7MapBase14GetMapFilePathEPcii kind:function(arm,size=0x54) addr:0x0207dd40
_ZN7MapBase8vfunc_18Ev kind:function(arm,size=0x4) addr:0x0207dd94
_ZN7MapBase18func_ov00_0207ddf8Eb kind:function(arm,size=0x70) addr:0x0207dd98
_ZN7MapBase18func_ov00_0207de68Ei kind:function(arm,size=0x20) addr:0x0207de08
_ZN7MapBase18func_ov00_0207de88Ev kind:function(arm,size=0x18) addr:0x0207de28
_ZN7MapBase18func_ov00_0207dea0Eb kind:function(arm,size=0x1c0) addr:0x0207de40
_ZN7MapBase8vfunc_b0Eii kind:function(arm,size=0x2c) addr:0x0207e000
_ZN7MapBase18func_ov00_0207e08cEii kind:function(arm,size=0x64) addr:0x0207e02c
_ZN7MapBase18func_ov00_0207e0f0Ei kind:function(arm,size=0x19c) addr:0x0207e090
_ZN7MapBase18func_ov00_0207e28cEi kind:function(arm,size=0x1b8) addr:0x0207e22c
_ZN7MapBase8vfunc_b4Ev kind:function(arm,size=0x28) addr:0x0207e3e4
_ZN7MapBase8vfunc_48Ev kind:function(arm,size=0x1c) addr:0x0207e40c
_ZN7MapBase8vfunc_50Ev kind:function(arm,size=0x8) addr:0x0207e428
_ZN7MapBase8vfunc_54Ev kind:function(arm,size=0x8) addr:0x0207e430
_ZN7MapBase8vfunc_58Ev kind:function(arm,size=0x8) addr:0x0207e438
_ZN7MapBase8vfunc_5cEv kind:function(arm,size=0x8) addr:0x0207e440
_ZN7MapBase8vfunc_60Ev kind:function(arm,size=0x8) addr:0x0207e448
_ZN7MapBase8vfunc_64Ev kind:function(arm,size=0x8) addr:0x0207e450
_ZN7MapBase8vfunc_68Eii kind:function(arm,size=0x488) addr:0x0207e458
_ZN7MapBase18func_ov00_0207e940EPc kind:function(arm,size=0x28) addr:0x0207e8e0
_ZN7MapBase18func_ov00_0207e968Ev kind:function(arm,size=0x4) addr:0x0207e908
_ZN7MapBase18func_ov00_0207e96cEv kind:function(arm,size=0x4) addr:0x0207e90c
_ZN7MapBase8vfunc_6cEiii kind:function(arm,size=0x4a4) addr:0x0207e910
